"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",92,85
"10-19",177,165
"20-29",228,229
"30-39",181,217
"40-49",216,216
"50-59",169,189
"60-69",88,116
"70-79",50,46
"80-89",26,20
"90+",9,2
