"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",3,4
"10-19",10,5
"20-29",11,14
"30-39",11,5
"40-49",14,7
"50-59",8,6
"60-69",4,5
"70-79",1,0
"80-89",2,0
"90+",1,0
