"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",245,278
"10-19",450,511
"20-29",408,536
"30-39",363,398
"40-49",342,405
"50-59",235,310
"60-69",80,122
"70-79",54,47
"80-89",12,9
"90+",4,3
