"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",87,98
"10-19",102,150
"20-29",193,217
"30-39",143,228
"40-49",122,172
"50-59",112,155
"60-69",36,62
"70-79",11,21
"80-89",13,6
"90+",9,1
