"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",114,116
"10-19",183,232
"20-29",269,271
"30-39",214,246
"40-49",208,220
"50-59",142,176
"60-69",83,100
"70-79",36,51
"80-89",24,20
"90+",12,1
