"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",14,21
"10-19",24,23
"20-29",100,120
"30-39",57,119
"40-49",36,89
"50-59",45,65
"60-69",25,40
"70-79",9,14
"80-89",6,5
"90+",3,1
