"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",8,7
"10-19",18,15
"20-29",95,74
"30-39",67,58
"40-49",65,46
"50-59",64,51
"60-69",33,36
"70-79",32,30
"80-89",27,18
"90+",13,4
