"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",110,122
"10-19",112,187
"20-29",129,176
"30-39",155,175
"40-49",157,166
"50-59",84,118
"60-69",41,53
"70-79",15,19
"80-89",6,9
"90+",3,2
