"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",223,267
"10-19",353,330
"20-29",297,367
"30-39",270,333
"40-49",276,311
"50-59",199,237
"60-69",80,94
"70-79",32,40
"80-89",11,10
"90+",0,0
