"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",1,5
"10-19",5,2
"20-29",13,10
"30-39",4,12
"40-49",7,8
"50-59",4,4
"60-69",1,4
"70-79",1,1
"80-89",0,0
"90+",0,0
