"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",7,4
"10-19",16,20
"20-29",63,59
"30-39",49,54
"40-49",52,39
"50-59",51,50
"60-69",21,25
"70-79",12,15
"80-89",21,5
"90+",7,5
