"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",2,2
"10-19",0,3
"20-29",5,5
"30-39",4,5
"40-49",5,7
"50-59",2,5
"60-69",4,1
"70-79",1,1
"80-89",0,1
"90+",0,0
