"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",5,7
"10-19",13,12
"20-29",42,94
"30-39",31,29
"40-49",18,41
"50-59",23,30
"60-69",4,7
"70-79",5,5
"80-89",2,1
"90+",1,0
