"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",82,84
"10-19",140,149
"20-29",189,247
"30-39",179,258
"40-49",155,209
"50-59",131,146
"60-69",61,78
"70-79",27,23
"80-89",29,12
"90+",17,1
