"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",74,75
"10-19",221,211
"20-29",320,379
"30-39",228,434
"40-49",203,320
"50-59",161,208
"60-69",76,114
"70-79",34,48
"80-89",14,14
"90+",4,3
