"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",161,193
"10-19",227,278
"20-29",237,268
"30-39",239,286
"40-49",205,225
"50-59",136,171
"60-69",47,70
"70-79",17,17
"80-89",6,4
"90+",7,2
