"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",119,126
"10-19",282,282
"20-29",197,316
"30-39",162,176
"40-49",154,135
"50-59",106,137
"60-69",27,37
"70-79",10,11
"80-89",1,4
"90+",1,0
