"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",106,140
"10-19",314,347
"20-29",351,335
"30-39",296,310
"40-49",283,300
"50-59",210,237
"60-69",96,121
"70-79",60,56
"80-89",41,23
"90+",17,9
