"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",167,174
"10-19",242,288
"20-29",230,332
"30-39",244,320
"40-49",223,277
"50-59",146,213
"60-69",61,108
"70-79",26,27
"80-89",8,9
"90+",5,1
