"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",152,141
"10-19",333,371
"20-29",520,624
"30-39",335,467
"40-49",307,415
"50-59",236,328
"60-69",98,135
"70-79",52,59
"80-89",33,29
"90+",21,10
