"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",411,433
"10-19",629,698
"20-29",553,587
"30-39",501,541
"40-49",513,531
"50-59",299,386
"60-69",133,188
"70-79",56,79
"80-89",16,12
"90+",5,2
