"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",154,159
"10-19",269,235
"20-29",204,259
"30-39",199,238
"40-49",165,224
"50-59",156,150
"60-69",40,62
"70-79",11,16
"80-89",8,5
"90+",1,2
