"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",122,131
"10-19",363,376
"20-29",383,404
"30-39",301,375
"40-49",322,331
"50-59",228,257
"60-69",123,154
"70-79",56,57
"80-89",46,33
"90+",22,3
