"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",13,6
"10-19",32,34
"20-29",140,91
"30-39",124,125
"40-49",144,120
"50-59",160,183
"60-69",124,127
"70-79",89,93
"80-89",48,44
"90+",23,12
