"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",4,3
"10-19",8,10
"20-29",13,9
"30-39",7,15
"40-49",16,38
"50-59",19,40
"60-69",5,20
"70-79",3,6
"80-89",0,1
"90+",0,1
