"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",18,16
"10-19",68,42
"20-29",134,111
"30-39",53,76
"40-49",41,51
"50-59",39,42
"60-69",18,23
"70-79",6,10
"80-89",7,3
"90+",6,0
