"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",90,101
"10-19",208,228
"20-29",289,323
"30-39",200,292
"40-49",231,287
"50-59",189,231
"60-69",72,98
"70-79",45,42
"80-89",34,18
"90+",23,3
