"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",12,19
"10-19",61,48
"20-29",99,118
"30-39",62,76
"40-49",34,59
"50-59",31,39
"60-69",18,19
"70-79",7,8
"80-89",5,3
"90+",0,0
