"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",16,19
"10-19",44,33
"20-29",159,147
"30-39",64,117
"40-49",47,94
"50-59",47,69
"60-69",19,33
"70-79",14,10
"80-89",1,5
"90+",2,0
