"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",89,93
"10-19",176,191
"20-29",190,215
"30-39",153,203
"40-49",152,183
"50-59",95,130
"60-69",49,55
"70-79",17,22
"80-89",7,3
"90+",3,2
