"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",15,16
"10-19",34,45
"20-29",102,119
"30-39",62,106
"40-49",50,66
"50-59",38,28
"60-69",23,29
"70-79",21,14
"80-89",10,7
"90+",2,0
