"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",3,2
"10-19",2,4
"20-29",13,15
"30-39",6,13
"40-49",5,10
"50-59",8,4
"60-69",3,5
"70-79",0,0
"80-89",0,1
"90+",0,0
