"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",4,7
"10-19",6,5
"20-29",9,17
"30-39",11,17
"40-49",6,8
"50-59",6,8
"60-69",5,3
"70-79",0,1
"80-89",1,0
"90+",0,0
