"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",7,4
"10-19",29,34
"20-29",136,62
"30-39",134,111
"40-49",127,133
"50-59",139,122
"60-69",88,100
"70-79",59,62
"80-89",42,35
"90+",8,6
