"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",129,125
"10-19",248,251
"20-29",412,416
"30-39",298,343
"40-49",267,294
"50-59",253,269
"60-69",119,134
"70-79",90,94
"80-89",47,33
"90+",22,11
