"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",5,9
"10-19",45,22
"20-29",112,83
"30-39",104,82
"40-49",113,91
"50-59",101,96
"60-69",59,70
"70-79",46,57
"80-89",41,31
"90+",17,8
