"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",0,1
"10-19",2,1
"20-29",12,6
"30-39",5,7
"40-49",6,5
"50-59",5,5
"60-69",3,3
"70-79",1,3
"80-89",0,0
"90+",0,0
