"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",10,9
"10-19",26,21
"20-29",51,57
"30-39",29,42
"40-49",18,31
"50-59",26,17
"60-69",9,9
"70-79",2,1
"80-89",0,1
"90+",0,0
