"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",3,6
"10-19",3,4
"20-29",3,7
"30-39",6,4
"40-49",6,3
"50-59",8,4
"60-69",3,3
"70-79",0,2
"80-89",0,1
"90+",0,0
