"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",274,246
"10-19",390,390
"20-29",330,407
"30-39",331,378
"40-49",294,355
"50-59",201,263
"60-69",93,128
"70-79",37,49
"80-89",13,5
"90+",0,1
