"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",141,140
"10-19",479,408
"20-29",406,523
"30-39",179,226
"40-49",159,175
"50-59",127,147
"60-69",32,45
"70-79",9,17
"80-89",6,1
"90+",0,0
