"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",6,6
"10-19",11,12
"20-29",14,18
"30-39",23,34
"40-49",14,20
"50-59",23,20
"60-69",4,6
"70-79",4,2
"80-89",4,0
"90+",0,0
