"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",15,21
"10-19",55,57
"20-29",111,142
"30-39",49,70
"40-49",41,53
"50-59",38,42
"60-69",10,14
"70-79",6,10
"80-89",5,1
"90+",1,0
