"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",27,24
"10-19",104,85
"20-29",202,284
"30-39",106,200
"40-49",94,194
"50-59",91,142
"60-69",36,56
"70-79",26,16
"80-89",5,7
"90+",4,1
