"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",0,2
"10-19",4,4
"20-29",7,12
"30-39",9,11
"40-49",8,3
"50-59",8,5
"60-69",0,6
"70-79",2,4
"80-89",0,0
"90+",0,1
