"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",8,19
"10-19",40,35
"20-29",149,217
"30-39",65,121
"40-49",50,121
"50-59",47,75
"60-69",25,36
"70-79",16,14
"80-89",6,6
"90+",3,2
