"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",318,354
"10-19",456,472
"20-29",444,485
"30-39",383,441
"40-49",393,399
"50-59",262,302
"60-69",106,145
"70-79",42,59
"80-89",15,13
"90+",9,1
