"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",104,110
"10-19",188,191
"20-29",262,257
"30-39",261,284
"40-49",205,272
"50-59",177,212
"60-69",93,112
"70-79",55,71
"80-89",40,28
"90+",17,5
