"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",8,2
"10-19",3,8
"20-29",13,17
"30-39",8,6
"40-49",7,5
"50-59",3,4
"60-69",9,5
"70-79",5,1
"80-89",1,2
"90+",1,0
