"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",99,125
"10-19",382,336
"20-29",359,454
"30-39",308,375
"40-49",272,362
"50-59",225,284
"60-69",143,135
"70-79",75,49
"80-89",29,18
"90+",9,3
