"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",93,119
"10-19",235,238
"20-29",312,329
"30-39",246,291
"40-49",262,214
"50-59",223,254
"60-69",95,117
"70-79",60,64
"80-89",34,27
"90+",20,6
