"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",359,350
"10-19",545,623
"20-29",492,530
"30-39",458,465
"40-49",409,443
"50-59",276,336
"60-69",102,119
"70-79",54,63
"80-89",9,12
"90+",6,5
