"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",182,181
"10-19",371,352
"20-29",303,383
"30-39",202,243
"40-49",199,215
"50-59",131,175
"60-69",43,79
"70-79",18,22
"80-89",10,1
"90+",0,0
