"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",10,5
"10-19",18,36
"20-29",52,57
"30-39",19,43
"40-49",23,37
"50-59",19,29
"60-69",4,5
"70-79",5,5
"80-89",0,1
"90+",0,0
