"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",213,231
"10-19",277,297
"20-29",268,337
"30-39",225,277
"40-49",246,270
"50-59",151,214
"60-69",64,78
"70-79",20,26
"80-89",8,9
"90+",4,3
