"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",7,3
"10-19",6,6
"20-29",11,6
"30-39",18,14
"40-49",14,7
"50-59",10,8
"60-69",0,2
"70-79",5,3
"80-89",0,1
"90+",2,0
