"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",9,4
"10-19",14,31
"20-29",29,30
"30-39",28,32
"40-49",23,25
"50-59",19,27
"60-69",6,13
"70-79",3,5
"80-89",4,5
"90+",1,1
