"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",3,4
"10-19",8,15
"20-29",19,28
"30-39",21,32
"40-49",12,20
"50-59",9,14
"60-69",2,5
"70-79",1,3
"80-89",2,0
"90+",0,0
