"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",366,366
"10-19",502,575
"20-29",527,620
"30-39",494,546
"40-49",403,475
"50-59",266,358
"60-69",113,165
"70-79",50,58
"80-89",12,11
"90+",2,2
