"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",4,4
"10-19",3,4
"20-29",18,16
"30-39",15,5
"40-49",10,5
"50-59",8,1
"60-69",3,4
"70-79",1,3
"80-89",3,0
"90+",2,1
