"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",55,47
"10-19",214,182
"20-29",75,105
"30-39",76,77
"40-49",54,60
"50-59",29,38
"60-69",10,12
"70-79",3,4
"80-89",3,5
"90+",0,0
