"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",95,123
"10-19",231,253
"20-29",259,297
"30-39",231,258
"40-49",207,216
"50-59",176,207
"60-69",67,113
"70-79",46,64
"80-89",35,23
"90+",16,4
