"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",85,92
"10-19",120,147
"20-29",154,176
"30-39",134,177
"40-49",126,186
"50-59",93,118
"60-69",38,47
"70-79",11,16
"80-89",6,4
"90+",3,1
