"Aldersgrupper (per 10 år)","Kvinner","Menn"
"0-9",3,6
"10-19",16,18
"20-29",70,76
"30-39",87,141
"40-49",138,178
"50-59",115,192
"60-69",41,60
"70-79",14,35
"80-89",14,7
"90+",2,2
